episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
50,4441,50,-27.69464,0.099298,0.718737,132,0,1,16,16,0,0,0,0.0,0,0,-19.2,,,,,,,,
51,4485,51,66.706491,0.096314,0.71595,109,0,1,16,16,0,44,0,0.0,0,0,-18.0,,,,,,,,
52,4518,52,-51.244136,0.100852,0.71386,165,0,1,16,16,0,5,0,0.0,0,0,-15.6,,,,,,,,
53,4643,53,45.351341,0.103555,0.705943,40,2,2,5,3,7,9,13,6.785889,7,6,11.792944,,,,,,,,
54,4785,54,-36.448943,0.098202,0.69695,164,1,1,15,14,0,2,5,1.873779,0,5,-18.56311,,,,,,,,
55,4898,55,-16.46955,0.102115,0.689793,60,2,2,10,8,0,0,10,5.732422,6,4,5.266211,,,,,,,,
56,5448,56,11.066973,0.097948,0.65496,190,0,1,16,16,0,9,0,0.0,0,0,-16.8,,,,,,,,
57,5758,57,78.187147,0.098125,0.635327,118,2,2,10,8,9,30,8,3.863037,5,3,6.431519,,,,,,,,
58,5768,58,-3.207805,0.08414,0.634693,20,2,2,4,2,1,1,6,2.331055,1,5,-5.734473,,,,,,,,
59,5917,59,59.994328,0.098108,0.625257,131,2,2,13,11,2,57,12,4.264404,3,9,-13.167798,,,,,,,,
60,5941,60,163.381459,0.088295,0.623737,91,2,2,12,10,15,63,14,7.356201,12,2,25.878101,,,,,,,,
61,5972,61,-36.468204,0.093412,0.621773,136,1,2,16,15,0,4,3,1.879883,1,2,-12.260059,,,,,,,,
62,6186,62,-37.575952,0.091144,0.60822,137,0,2,16,16,0,0,0,0.0,0,0,-18.0,,,,,,,,
63,6203,63,6.388324,0.093724,0.607143,160,0,1,16,16,0,14,1,0.305664,0,1,-14.547168,,,,,,,,
64,6263,64,39.349834,0.093638,0.603343,155,2,2,15,13,5,16,6,2.862061,4,2,-3.96897,,,,,,,,
51,4540,51,39.803176,0.093282,0.712467,7,2,2,2,0,8,17,16,8.712891,6,10,7.356445,,,,,,,,
52,4807,52,17.301476,0.104983,0.695557,23,2,2,4,2,1,28,2,1.23877,1,1,-0.280615,,,,,,,,
53,4912,53,142.565692,0.108864,0.688907,30,2,2,4,2,23,63,10,4.291992,8,2,20.745996,,,,,,,,
54,5004,54,27.565406,0.105839,0.68308,29,2,2,4,2,4,6,9,4.563232,5,4,8.881616,,,,,,,,
55,5138,55,14.97519,0.103286,0.674593,44,2,2,5,3,5,12,12,7.359375,7,4,16.279688,,,,,,,,
56,5327,56,23.374678,0.103261,0.662623,56,2,2,7,5,0,12,9,4.012207,4,5,2.906104,,,,,,,,
57,5601,57,154.859826,0.100577,0.64527,73,2,2,7,5,5,56,5,2.311279,0,5,-11.14436,,,,,,,,
58,5848,58,-11.011087,0.09787,0.629627,88,2,2,13,11,0,2,5,3.172607,5,1,3.086304,,,,,,,,
59,5933,59,130.468943,0.09572,0.624243,94,2,2,14,12,7,26,13,4.620361,4,9,-13.589819,,,,,,,,
60,6393,60,-20.586764,0.09446,0.59511,122,1,2,16,15,0,2,5,2.076904,3,2,-8.561548,,,,,,,,
61,6574,61,79.84608,0.092762,0.583647,134,2,2,13,11,7,39,8,3.570801,7,1,14.0854,,,,,,,,
62,6641,62,-22.675436,0.080947,0.579403,65,2,2,5,3,0,1,5,2.593506,3,2,6.096753,,,,,,,,
63,6730,63,-6.732624,0.093684,0.573767,144,0,2,16,16,0,4,1,0.350342,0,1,-16.924829,,,,,,,,
64,6804,64,24.414756,0.091165,0.56908,148,1,2,16,15,1,22,3,1.209473,1,2,-13.795264,,,,,,,,
65,6822,65,-35.486863,0.096103,0.56794,149,1,2,16,15,0,6,3,1.833008,0,3,-20.383496,,,,,,,,
